model_id,prompt_mode,pair_id,pair_correct,self_correct,opponent_correct,flipped,same_action,both_parsed,error_type,domain,difficulty,self_prediction,opponent_prediction,safe_action,branching_action
qwen25_math7b,bellman,cf_0035,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,3,WILLOW,TIDAL,TIDAL,WILLOW
qwen25_math7b,bellman,cf_0036,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,CIPHER,CIPHER,LANTERN,CIPHER
qwen25_math7b,bellman,cf_0037,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,1,CIPHER,CIPHER,RAVEN,CIPHER
qwen25_math7b,bellman,cf_0038,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,1,CIPHER,ZENITH,ZENITH,CIPHER
qwen25_math7b,bellman,cf_0039,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,1,LANTERN,LANTERN,VELVET,LANTERN
qwen25_math7b,bellman,cf_0040,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,exploration,1,TIDAL,TIDAL,TIDAL,VELVET
qwen25_math7b,bellman,cf_0041,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,1,ZENITH,LANTERN,LANTERN,ZENITH
qwen25_math7b,bellman,cf_0042,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,WILLOW,WILLOW,RAVEN,WILLOW
qwen25_math7b,bellman,cf_0043,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,2,ORBIT,ORBIT,TIDAL,ORBIT
qwen25_math7b,bellman,cf_0044,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,WILLOW,WILLOW,KITE,WILLOW
qwen25_math7b,bellman,cf_0045,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,logistics,2,WILLOW,CIPHER,WILLOW,CIPHER
qwen25_math7b,bellman,cf_0046,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,exploration,2,ORBIT,QUARTZ,ORBIT,QUARTZ
qwen25_math7b,bellman,cf_0047,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,2,KITE,KITE,RAVEN,KITE
qwen25_math7b,bellman,cf_0048,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,abstract_game,3,LANTERN,CIPHER,CIPHER,LANTERN
qwen25_math7b,bellman,cf_0049,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,cyber_defense,3,VELVET,RAVEN,VELVET,RAVEN
qwen25_math7b,bellman,cf_0050,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,tool_agent,3,LANTERN,KITE,LANTERN,KITE
qwen25_math7b,bellman,cf_0051,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,RAVEN,RAVEN,CIPHER,RAVEN
qwen25_math7b,bellman,cf_0052,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,3,CIPHER,RAVEN,RAVEN,CIPHER
qwen25_math7b,bellman,cf_0053,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,resource_game,3,TIDAL,TIDAL,TIDAL,ZENITH
qwen25_math7b,bellman,cf_0054,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,abstract_game,1,KITE,ORBIT,KITE,ORBIT
qwen25_math7b,bellman,cf_0055,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,RAVEN,ZENITH,ZENITH,RAVEN
qwen25_math7b,bellman,cf_0056,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,1,SUMMIT,SUMMIT,RAVEN,SUMMIT
qwen25_math7b,bellman,cf_0057,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,logistics,1,WILLOW,ORBIT,WILLOW,ORBIT
qwen25_math7b,bellman,cf_0058,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,VELVET,CIPHER,CIPHER,VELVET
qwen25_math7b,bellman,cf_0059,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,1,EMBER,EMBER,RAVEN,EMBER
qwen25_math7b,bellman,cf_0060,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,ORBIT,ORBIT,RAVEN,ORBIT
qwen25_math7b,bellman,cf_0061,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,2,EMBER,CIPHER,CIPHER,EMBER
qwen25_math7b,bellman,cf_0062,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,EMBER,EMBER,VELVET,EMBER
qwen25_math7b,bellman,cf_0063,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,2,RAVEN,RAVEN,QUARTZ,RAVEN
qwen25_math7b,bellman,cf_0064,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,2,ORBIT,ORBIT,QUARTZ,ORBIT
qwen25_math7b,bellman,cf_0065,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,2,SUMMIT,TIDAL,SUMMIT,TIDAL
qwen25_math7b,bellman,cf_0066,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,abstract_game,3,TIDAL,VELVET,VELVET,TIDAL
qwen25_math7b,bellman,cf_0067,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,cyber_defense,3,ORBIT,ORBIT,ORBIT,QUARTZ
qwen25_math7b,bellman,cf_0068,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,tool_agent,3,RAVEN,KITE,RAVEN,KITE
qwen25_math7b,bellman,cf_0069,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,QUARTZ,QUARTZ,CIPHER,QUARTZ
qwen25_math7b,bellman,cf_0070,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,3,QUARTZ,QUARTZ,RAVEN,QUARTZ
qwen25_math7b,bellman,cf_0071,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,3,VELVET,VELVET,CIPHER,VELVET
qwen25_math7b,bellman,cf_0072,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,abstract_game,1,WILLOW,WILLOW,WILLOW,EMBER
qwen25_math7b,bellman,cf_0073,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,SUMMIT,LANTERN,LANTERN,SUMMIT
qwen25_math7b,bellman,cf_0074,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,tool_agent,1,WILLOW,WILLOW,WILLOW,EMBER
qwen25_math7b,bellman,cf_0075,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,logistics,1,ORBIT,WILLOW,WILLOW,ORBIT
qwen25_math7b,bellman,cf_0076,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,CIPHER,LANTERN,LANTERN,CIPHER
qwen25_math7b,bellman,cf_0077,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,1,LANTERN,EMBER,LANTERN,EMBER
qwen25_math7b,bellman,cf_0078,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,QUARTZ,QUARTZ,TIDAL,QUARTZ
qwen25_math7b,bellman,cf_0079,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,cyber_defense,2,SUMMIT,QUARTZ,SUMMIT,QUARTZ
qwen25_math7b,bellman,cf_0080,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,SUMMIT,SUMMIT,LANTERN,SUMMIT
qwen25_math7b,bellman,cf_0081,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,logistics,2,EMBER,EMBER,EMBER,ZENITH
qwen25_math7b,bellman,cf_0082,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,2,QUARTZ,QUARTZ,ZENITH,QUARTZ
qwen25_math7b,bellman,cf_0083,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,2,QUARTZ,ORBIT,QUARTZ,ORBIT
qwen25_math7b,bellman,cf_0084,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,RAVEN,RAVEN,QUARTZ,RAVEN
qwen25_math7b,bellman,cf_0085,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,3,KITE,KITE,CIPHER,KITE
qwen25_math7b,bellman,cf_0086,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,3,SUMMIT,SUMMIT,ORBIT,SUMMIT
qwen25_math7b,bellman,cf_0087,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,SUMMIT,SUMMIT,WILLOW,SUMMIT
qwen25_math7b,bellman,cf_0088,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,3,TIDAL,TIDAL,CIPHER,TIDAL
qwen25_math7b,bellman,cf_0089,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,3,KITE,KITE,TIDAL,KITE
qwen25_math7b,bellman,cf_0090,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,KITE,KITE,ORBIT,KITE
qwen25_math7b,bellman,cf_0091,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,1,CIPHER,CIPHER,KITE,CIPHER
qwen25_math7b,bellman,cf_0092,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,1,KITE,KITE,SUMMIT,KITE
qwen25_math7b,bellman,cf_0093,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,1,EMBER,EMBER,CIPHER,EMBER
qwen25_math7b,bellman,cf_0094,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,WILLOW,EMBER,EMBER,WILLOW
qwen25_math7b,bellman,cf_0095,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,1,RAVEN,KITE,KITE,RAVEN
qwen25_math7b,bellman,cf_0096,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,abstract_game,2,VELVET,VELVET,VELVET,LANTERN
qwen25_math7b,bellman,cf_0097,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,cyber_defense,2,QUARTZ,QUARTZ,QUARTZ,SUMMIT
qwen25_math7b,bellman,cf_0098,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,QUARTZ,QUARTZ,VELVET,QUARTZ
qwen25_math7b,bellman,cf_0099,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,logistics,2,EMBER,EMBER,EMBER,QUARTZ
qwen25_math7b,bellman,cf_0100,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,exploration,2,RAVEN,RAVEN,RAVEN,LANTERN
qwen25_math7b,bellman,cf_0101,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,2,RAVEN,RAVEN,VELVET,RAVEN
qwen25_math7b,bellman,cf_0102,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,ZENITH,ZENITH,ORBIT,ZENITH
qwen25_math7b,bellman,cf_0103,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,cyber_defense,3,RAVEN,TIDAL,RAVEN,TIDAL
qwen25_math7b,bellman,cf_0104,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,3,KITE,KITE,SUMMIT,KITE
qwen25_math7b,bellman,cf_0105,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,TIDAL,TIDAL,ORBIT,TIDAL
qwen25_math7b,bellman,cf_0106,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,3,RAVEN,RAVEN,VELVET,RAVEN
qwen25_math7b,bellman,cf_0107,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,3,CIPHER,EMBER,CIPHER,EMBER
qwen25_math7b,bellman,cf_0108,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,TIDAL,TIDAL,SUMMIT,TIDAL
qwen25_math7b,bellman,cf_0109,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,CIPHER,WILLOW,WILLOW,CIPHER
qwen25_math7b,bellman,cf_0110,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,tool_agent,1,WILLOW,QUARTZ,WILLOW,QUARTZ
qwen25_math7b,bellman,cf_0111,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,logistics,1,VELVET,LANTERN,LANTERN,VELVET
qwen25_math7b,bellman,cf_0112,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,WILLOW,TIDAL,TIDAL,WILLOW
qwen25_math7b,bellman,cf_0113,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,1,QUARTZ,KITE,QUARTZ,KITE
qwen25_math7b,bellman,cf_0114,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,RAVEN,RAVEN,KITE,RAVEN
qwen25_math7b,bellman,cf_0115,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,2,ZENITH,ORBIT,ORBIT,ZENITH
qwen25_math7b,bellman,cf_0116,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,QUARTZ,QUARTZ,LANTERN,QUARTZ
qwen25_math7b,bellman,cf_0117,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,logistics,2,ORBIT,ORBIT,ORBIT,VELVET
qwen25_math7b,bellman,cf_0118,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,2,TIDAL,SUMMIT,SUMMIT,TIDAL
qwen25_math7b,bellman,cf_0119,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,2,RAVEN,RAVEN,VELVET,RAVEN
qwen25_math7b,bellman,cf_0120,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,ORBIT,ORBIT,WILLOW,ORBIT
qwen25_math7b,bellman,cf_0121,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,3,VELVET,VELVET,EMBER,VELVET
qwen25_math7b,bellman,cf_0122,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,3,SUMMIT,SUMMIT,EMBER,SUMMIT
qwen25_math7b,bellman,cf_0123,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,logistics,3,ORBIT,WILLOW,ORBIT,WILLOW
qwen25_math7b,bellman,cf_0124,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,exploration,3,SUMMIT,ZENITH,SUMMIT,ZENITH
qwen25_math7b,bellman,cf_0125,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,3,TIDAL,KITE,TIDAL,KITE
qwen25_math7b,bellman,cf_0126,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,KITE,KITE,CIPHER,KITE
qwen25_math7b,bellman,cf_0127,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,QUARTZ,KITE,KITE,QUARTZ
qwen25_math7b,bellman,cf_0128,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,1,TIDAL,TIDAL,KITE,TIDAL
qwen25_math7b,bellman,cf_0129,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,1,CIPHER,CIPHER,WILLOW,CIPHER
qwen25_math7b,bellman,cf_0130,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,LANTERN,CIPHER,CIPHER,LANTERN
qwen25_math7b,bellman,cf_0131,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,1,SUMMIT,ZENITH,ZENITH,SUMMIT
qwen25_math7b,bellman,cf_0132,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,abstract_game,2,ORBIT,LANTERN,LANTERN,ORBIT
qwen25_math7b,bellman,cf_0133,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,cyber_defense,2,ORBIT,SUMMIT,ORBIT,SUMMIT
qwen25_math7b,bellman,cf_0134,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,tool_agent,2,KITE,KITE,KITE,LANTERN
qwen25_math7b,bellman,cf_0135,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,logistics,2,KITE,LANTERN,KITE,LANTERN
qwen25_math7b,bellman,cf_0136,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,exploration,2,KITE,KITE,KITE,CIPHER
qwen25_math7b,bellman,cf_0137,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,resource_game,2,RAVEN,RAVEN,RAVEN,CIPHER
qwen25_math7b,bellman,cf_0138,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,ZENITH,ZENITH,EMBER,ZENITH
qwen25_math7b,bellman,cf_0139,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,cyber_defense,3,RAVEN,VELVET,RAVEN,VELVET
qwen25_math7b,bellman,cf_0140,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,3,ORBIT,ORBIT,TIDAL,ORBIT
qwen25_math7b,bellman,cf_0141,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,logistics,3,ORBIT,ORBIT,ORBIT,RAVEN
qwen25_math7b,bellman,cf_0142,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,3,CIPHER,CIPHER,ZENITH,CIPHER
qwen25_math7b,bellman,cf_0143,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,3,WILLOW,VELVET,VELVET,WILLOW
qwen25_math7b,bellman,cf_0144,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,WILLOW,WILLOW,ZENITH,WILLOW
qwen25_math7b,bellman,cf_0145,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,RAVEN,ORBIT,ORBIT,RAVEN
qwen25_math7b,bellman,cf_0146,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,1,LANTERN,EMBER,EMBER,LANTERN
qwen25_math7b,bellman,cf_0147,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,logistics,1,RAVEN,LANTERN,LANTERN,RAVEN
qwen25_math7b,bellman,cf_0148,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,1,ZENITH,ZENITH,TIDAL,ZENITH
qwen25_math7b,bellman,cf_0149,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,1,LANTERN,LANTERN,ZENITH,LANTERN
qwen25_math7b,bellman,cf_0150,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,LANTERN,LANTERN,VELVET,LANTERN
qwen25_math7b,bellman,cf_0151,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,2,CIPHER,VELVET,VELVET,CIPHER
qwen25_math7b,bellman,cf_0152,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,ZENITH,ZENITH,VELVET,ZENITH
qwen25_math7b,bellman,cf_0153,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,2,ORBIT,ORBIT,CIPHER,ORBIT
qwen25_math7b,bellman,cf_0154,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,exploration,2,VELVET,VELVET,VELVET,LANTERN
qwen25_math7b,bellman,cf_0155,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,2,RAVEN,RAVEN,QUARTZ,RAVEN
qwen25_math7b,bellman,cf_0156,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,ZENITH,ZENITH,QUARTZ,ZENITH
qwen25_math7b,bellman,cf_0157,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,cyber_defense,3,EMBER,EMBER,EMBER,SUMMIT
qwen25_math7b,bellman,cf_0158,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,3,KITE,TIDAL,TIDAL,KITE
qwen25_math7b,bellman,cf_0159,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,VELVET,VELVET,WILLOW,VELVET
qwen25_math7b,bellman,cf_0160,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,3,LANTERN,ORBIT,ORBIT,LANTERN
qwen25_math7b,bellman,cf_0161,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,3,RAVEN,WILLOW,RAVEN,WILLOW
qwen25_math7b,bellman,cf_0162,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,1,TIDAL,TIDAL,LANTERN,TIDAL
qwen25_math7b,bellman,cf_0163,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,1,QUARTZ,QUARTZ,TIDAL,QUARTZ
qwen25_math7b,bellman,cf_0164,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,1,WILLOW,WILLOW,RAVEN,WILLOW
qwen25_math7b,bellman,cf_0165,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,1,EMBER,EMBER,LANTERN,EMBER
qwen25_math7b,bellman,cf_0166,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,1,WILLOW,WILLOW,ORBIT,WILLOW
qwen25_math7b,bellman,cf_0167,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,1,RAVEN,CIPHER,RAVEN,CIPHER
qwen25_math7b,bellman,cf_0168,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,abstract_game,2,KITE,ORBIT,KITE,ORBIT
qwen25_math7b,bellman,cf_0169,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,cyber_defense,2,EMBER,EMBER,EMBER,LANTERN
qwen25_math7b,bellman,cf_0170,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,tool_agent,2,ZENITH,RAVEN,ZENITH,RAVEN
qwen25_math7b,bellman,cf_0171,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,logistics,2,ZENITH,TIDAL,TIDAL,ZENITH
qwen25_math7b,bellman,cf_0172,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,2,QUARTZ,QUARTZ,KITE,QUARTZ
qwen25_math7b,bellman,cf_0173,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,2,KITE,EMBER,EMBER,KITE
